"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20000433,"   433 Eros (A898 PA)",433,Eros,,Y,N,0,10.41,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,0.921,0.531,,S,S,,0.06,"JPL 659",2460000.5,60000,2023-02-25.0,J2000,0.2228,1.458,1.133,10.83,304.29,178.93,110.78,1.78,0.5598,2459802.60,2022-08-11.1,643,1.76,0.149,57.9,3.29,4.58,9.4e-09,1.6e-10,1.4e-08,1.2e-06,3.6e-06,4.0e-06,1.4e-06,1.9e-10,9.1e-11,2.6e-06,1.0e-07,AMO,Giorgini,46582,1893-10-29,2021-05-13,9130,4,2,0,.29796,,,,,,,,,
20000719,"   719 Albert (A911 TB)",719,Albert,,Y,N,0,15.59,,,,,,,,,,5.801,,,,,S,,,,"JPL 257",2460000.5,60000,2023-02-25.0,J2000,0.5470,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,2023-01-11.5,1.56e+03,4.28,0.2,77.8,1.42,3.14,2.1e-08,2.5e-09,5.7e-08,2.8e-06,1.5e-05,1.5e-05,2.7e-06,3.9e-09,3.3e-10,1.2e-05,2.3e-06,AMO,"Otto Matic",40483,1911-10-04,2022-08-05,2035,,,0,.41003,,,,,,,,,
20000887,"   887 Alinda (A918 AA)",887,Alinda,,Y,N,0,13.88,-0.12,,,,,,4.2,,0.31,28.41,,0.832,0.436,,,S,,,"JPL 441",2460000.5,60000,2023-02-25.0,J2000,0.5707,2.472,1.061,9.40,110.42,350.48,188.04,3.88,0.2535,2460678.79,2025-01-03.2,1.42e+03,3.89,0.0801,31.2,1.32,3.22,3.8e-09,1.3e-09,9.3e-09,1.9e-07,1.6e-06,1.1e-06,6.0e-07,2.0e-09,2.0e-10,2.8e-06,1.1e-06,AMO,"Otto Matic",38506,1918-02-03,2023-07-08,3064,,,0,.3819,,,,,,,,,
20001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,,Y,N,0,9.26,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,S,S,,0.40,"JPL 1119",2460000.5,60000,2023-02-25.0,J2000,0.5330,2.666,1.245,26.69,215.50,132.47,231.16,4.09,0.2264,2460569.53,2024-09-16.0,1.59e+03,4.35,0.344,134,1.95,3.03,5.8e-10,1.6e-09,1.1e-09,2.6e-08,8.8e-08,1.2e-07,5.1e-07,2.4e-09,2.0e-10,2.7e-06,1.4e-06,AMO,"Otto Matic",36059,1924-10-23,2023-07-15,9756,0,1,0,.32887,,,,,,,,,
20001221,"  1221 Amor (1932 EA1)",1221,Amor,,Y,N,0,17.37,,,,,,,1.0,,,,,,,,,,,,"JPL 111",2460000.5,60000,2023-02-25.0,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2022-10-14.8,971,2.66,0.106,41.4,2.21,3.78,3.3e-08,9.7e-10,6.4e-08,4.5e-06,2.1e-05,2.3e-05,7.8e-06,1.4e-09,2.8e-10,2.1e-05,7.4e-07,AMO,"Otto Matic",32775,1932-03-12,2021-12-05,585,,,0,.44014,,,,,,,,,
20001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,0,16.59,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 154",2460000.5,60000,2023-02-25.0,J2000,0.8269,1.078,0.187,22.80,87.95,31.44,352.55,1.97,0.8804,2460008.96,2023-03-05.4,409,1.12,0.0339,13.2,3.22,5.3,1.2e-08,2.5e-09,1.3e-08,3.6e-06,1.2e-06,2.0e-06,7.8e-06,4.6e-09,3.1e-09,8.9e-06,1.4e-06,APO,"Otto Matic",27042,1949-07-01,2023-07-15,1540,10,13,0,.32284,,,,-3.4e-15,6.0e-16,,,,
20001580,"  1580 Betulia (1950 KA)",1580,Betulia,,Y,N,0,14.69,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,"JPL 277",2460000.5,60000,2023-02-25.0,J2000,0.4870,2.198,1.127,52.10,62.26,159.55,137.66,3.27,0.3026,2459545.51,2021-11-27.0,1.19e+03,3.26,0.137,53.3,1.86,3.06,2.2e-08,3.8e-10,4.8e-08,8.0e-06,2.4e-06,6.1e-06,1.8e-06,5.6e-10,7.7e-11,6.0e-06,3.0e-07,AMO,"Otto Matic",26512,1950-05-22,2022-12-22,1509,5,6,0,.5103,,,,,,,,,
20001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 745",2460000.5,60000,2023-02-25.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.96,224.05,1.66,0.7089,2460192.27,2023-09-04.7,508,1.39,0.0294,11.5,3.45,5.07,8.4e-09,8.3e-10,1.1e-08,4.4e-07,2.0e-06,2.8e-06,2.7e-06,1.1e-09,7.1e-10,3.9e-06,5.1e-07,APO,"Otto Matic",26152,1951-09-14,2023-04-21,7984,3,4,0,.27978,,,,-2.8e-15,9.6e-16,,,,
20001627,"  1627 Ivar (1929 SH)",1627,Ivar,,Y,N,0,12.85,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,S,S,,,"JPL 1245",2460000.5,60000,2023-02-25.0,J2000,0.3965,1.864,1.125,8.45,133.12,167.81,284.00,2.60,0.3874,2460196.68,2023-09-09.1,929,2.54,0.112,43.4,2.65,3.88,2.2e-09,8.0e-10,4.0e-09,8.5e-08,7.0e-07,8.0e-07,9.5e-07,1.1e-09,2.5e-10,2.6e-06,6.0e-07,AMO,"Otto Matic",34263,1929-09-25,2023-07-17,12732,2,1,0,.28897,,,,,,,,,
20001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,0,14.33,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,"JPL 662",2460000.5,60000,2023-02-25.0,J2000,0.4360,1.368,0.771,9.38,274.22,127.23,186.57,1.96,0.6163,2460281.91,2023-12-03.4,584,1.6,0.0511,19.9,3.48,4.71,9.3e-10,4.7e-10,1.2e-09,4.6e-08,1.6e-07,1.9e-07,7.6e-07,6.8e-10,3.2e-10,1.4e-06,3.0e-07,APO,"Otto Matic",27397,1948-07-17,2023-07-21,4378,7,2,0,.30408,,,,-3.0e-15,4.6e-16,,,,
20001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,1,16.10,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 476",2460000.5,60000,2023-02-25.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143.00,2023-07-17.5,651,1.78,0.0262,10.2,3.07,4.41,8.7e-09,4.0e-10,1.3e-08,2.7e-06,1.3e-05,1.4e-05,2.3e-06,6.2e-10,2.2e-10,4.2e-06,2.7e-07,APO,"Otto Matic",33768,1930-12-13,2023-05-27,2889,8,9,0,.42831,,,,-3.8e-15,3.2e-16,,,,
